FrameSync,DateTime (UTC+00:00),Temperature (Celsius),Oxygen (mg/L),pH (pH),Chlorophyll (ug/l),Turbidity (NTU),Chlorophyll StdDev (ug/l),Turbidity StdDev (NTU),Salinity (psu),Spec Conductivity (uS/cm),Oxygen Sat (%),Date,Time (UTC+00:00),Event Flags
HCEP03730292,11/7/2020 22:15,12.4242,8.419,8.02,1.86,1.197,0.09,0.03,30.9823,48388.3,95.76, 07 Nov 2020, 22:15:00,0
HCEP03730292,11/7/2020 22:30,12.4584,8.401,8.02,1.748,1.222,0.05,0.03,30.9766,48375.7,95.62, 07 Nov 2020, 22:30:00,0
HCEP03730292,11/7/2020 22:45,12.4675,8.452,8.02,1.844,1.194,0.05,0.04,30.9729,48369.4,96.22, 07 Nov 2020, 22:45:00,0
HCEP03730292,11/7/2020 23:00,12.4432,8.41,8.02,1.829,1.227,0.08,0.04,30.9756,48376.3,95.69, 07 Nov 2020, 23:00:00,0
HCEP03730292,11/7/2020 23:15,12.4415,8.414,8.02,1.89,1.185,0.06,0.02,30.9723,48372,95.74, 07 Nov 2020, 23:15:00,0
HCEP03730292,11/7/2020 23:30,12.4379,8.378,8.02,1.821,1.24,0.07,0.02,30.9748,48375.9,95.32, 07 Nov 2020, 23:30:00,0
HCEP03730292,11/7/2020 23:45,12.4197,8.384,8.02,1.944,1.203,0.09,0.04,30.9775,48382.1,95.36, 07 Nov 2020, 23:45:00,0
HCEP03730292,11/8/2020 0:00,12.4129,8.379,8.02,1.856,1.205,0.11,0.03,30.9739,48378.1,95.28, 08 Nov 2020, 00:00:00,0
HCEP03730292,11/8/2020 0:15,12.4226,8.393,8.02,1.958,1.172,0.08,0.03,30.9725,48374.7,95.46, 08 Nov 2020, 00:15:00,0
HCEP03730292,11/8/2020 0:30,12.4301,8.389,8.02,1.912,1.212,0.08,0.04,30.9714,48372.3,95.42, 08 Nov 2020, 00:30:00,0
HCEP03730292,11/8/2020 0:45,12.4315,8.409,8.02,1.984,1.192,0.19,0.04,30.9702,48370.4,95.66, 08 Nov 2020, 00:45:00,0
HCEP03730292,11/8/2020 1:00,12.4313,8.418,8.02,1.953,1.217,0.18,0.04,30.9759,48378.3,95.77, 02 Nov 2020, 20:00:00,0
HCEP03730292,11/8/2020 1:15,12.4513,8.409,8.02,1.985,1.175,0.09,0.07,30.972,48370.2,95.7, 08 Nov 2020, 01:15:00,0
HCEP03730292,11/8/2020 1:30,12.4476,8.417,8.02,1.87,1.213,0.08,0.03,30.9708,48369,95.78, 08 Nov 2020, 01:30:00,0
HCEP03730292,11/8/2020 1:45,12.4434,8.391,8.02,1.909,1.182,0.12,0.04,30.9725,48372,95.48, 08 Nov 2020, 01:45:00,0
HCEP03730292,11/8/2020 2:00,12.4373,8.386,8.01,1.82,1.231,0.07,0.04,30.9715,48371.3,95.41, 08 Nov 2020, 02:00:00,0
HCEP03730292,11/8/2020 2:15,12.4364,8.355,8.01,1.916,1.185,0.1,0.04,30.9731,48373.7,95.06, 08 Nov 2020, 02:15:00,0
HCEP03730292,11/8/2020 2:30,12.43,8.368,8.02,1.786,1.248,0.09,0.05,30.9764,48379.2,95.2, 08 Nov 2020, 02:30:00,0
HCEP03730292,11/8/2020 2:45,12.3873,8.396,8.02,1.872,1.185,0.05,0.04,30.9717,48378.4,95.42, 08 Nov 2020, 02:45:00,0
HCEP03730292,11/8/2020 3:00,12.3769,8.386,8.02,1.882,1.205,0.14,0.1,30.969,48375.9,95.29, 08 Nov 2020, 03:00:00,0
HCEP03730292,11/8/2020 3:15,12.364,8.376,8.02,1.894,1.125,0.08,0.03,30.9721,48382,95.15, 08 Nov 2020, 03:15:00,0
HCEP03730292,11/8/2020 3:30,12.3488,8.386,8.02,1.738,1.132,0.06,0.02,30.9724,48384.5,95.23, 08 Nov 2020, 03:30:00,0
HCEP03730292,11/8/2020 3:45,12.3436,8.379,8.02,1.798,1.061,0.1,0.03,30.9754,48389.5,95.15, 08 Nov 2020, 03:45:00,0
HCEP03730292,11/8/2020 4:00,12.3525,8.403,8.02,1.97,1.085,0.06,0.02,30.9709,48381.8,95.43, 08 Nov 2020, 04:00:00,0
HCEP03730292,11/8/2020 4:15,12.3689,8.471,8.03,2.19,1.04,0.1,0.02,30.9787,48390.6,96.23, 08 Nov 2020, 04:15:00,0
HCEP03730292,11/8/2020 4:30,12.3921,8.514,8.03,2.295,1.07,0.13,0.03,30.9873,48399.6,96.79, 08 Nov 2020, 04:30:00,0
HCEP03730292,11/8/2020 4:45,12.4204,8.543,8.04,2.369,1.02,0.07,0.03,30.9977,48410.5,97.18, 08 Nov 2020, 04:45:00,0
HCEP03730292,11/8/2020 5:00,12.4315,8.573,8.04,2.356,1.054,0.06,0.03,31.0025,48415.7,97.54, 08 Nov 2020, 05:00:00,0
HCEP03730292,11/8/2020 5:15,12.4389,8.592,8.04,2.547,1.008,0.15,0.05,31.0114,48427.2,97.78, 08 Nov 2020, 05:15:00,0
HCEP03730292,11/8/2020 5:30,12.4252,8.565,8.04,2.592,1.046,0.13,0.04,31.0102,48427.4,97.45, 08 Nov 2020, 05:30:00,0
HCEP03730292,11/8/2020 5:45,12.4352,8.563,8.04,2.57,1.031,0.15,0.09,31.0129,48429.8,97.44, 02 Nov 2020, 20:30:00,0
HCEP03730292,11/8/2020 6:00,12.4106,8.592,8.04,2.452,1.057,0.12,0.06,31.0084,48426.8,97.72, 08 Nov 2020, 06:00:00,0
HCEP03730292,11/8/2020 6:15,12.4046,8.584,8.04,2.51,1.078,0.11,0.11,31.0033,48420.4,97.62, 08 Nov 2020, 06:15:00,0
HCEP03730292,11/8/2020 6:30,12.3936,8.565,8.04,2.378,1.107,0.09,0.08,30.9979,48414.3,97.38, 08 Nov 2020, 06:30:00,0
HCEP03730292,11/8/2020 6:45,12.3935,8.55,8.04,2.674,1.109,1.03,0.09,30.999,48415.9,97.2, 08 Nov 2020, 06:45:00,0
HCEP03730292,11/8/2020 7:00,12.3303,8.522,8.03,2.081,1.103,0.06,0.06,30.984,48403.3,96.76, 08 Nov 2020, 07:00:00,0
HCEP03730292,11/8/2020 7:15,12.3106,8.456,8.03,1.998,1.08,0.08,0.04,30.9853,48407.8,95.96, 08 Nov 2020, 07:15:00,0
HCEP03730292,11/8/2020 7:30,12.3007,8.388,8.02,1.732,1.136,0.06,0.05,30.9796,48401.1,95.16, 08 Nov 2020, 07:30:00,0
HCEP03730292,11/8/2020 7:45,12.3208,8.343,8.02,1.74,1.114,0.08,0.06,30.9819,48401.6,94.69, 08 Nov 2020, 07:45:00,0
HCEP03730292,11/8/2020 8:00,12.273,8.343,8.02,1.776,1.139,0.11,0.03,30.9633,48381.9,94.59, 08 Nov 2020, 08:00:00,0
HCEP03730292,11/2/2020 20:45,12.2742,8.348,8.02,1.799,1.126,0.09,0.03,30.9624,48380.6,94.65, 02 Nov 2020, 20:45:00,0
HCEP03730292,11/8/2020 8:30,12.2518,8.354,8.01,1.6,1.163,0.05,0.03,30.9579,48377.2,94.67, 08 Nov 2020, 08:30:00,0
HCEP03730292,11/8/2020 8:45,12.2568,8.349,8.01,1.653,1.096,0.05,0.04,30.9514,48367.3,94.61, 08 Nov 2020, 08:45:00,0
HCEP03730292,11/8/2020 9:00,12.3193,8.34,8.01,1.494,1.046,0.06,0.03,30.939,48341.5,94.62, 08 Nov 2020, 09:00:00,0
HCEP03730292,11/8/2020 9:15,12.3288,8.359,8.01,1.469,1.053,0.07,0.03,30.9377,48338.4,94.86, 08 Nov 2020, 09:15:00,0
HCEP03730292,11/8/2020 9:30,12.2925,8.302,8.01,1.453,1.235,0.08,0.04,30.9708,48389.9,94.18, 08 Nov 2020, 09:30:00,0
HCEP03730292,11/8/2020 9:45,12.339,8.229,8.01,1.615,1.276,0.05,0.02,31.025,48459.8,93.46, 08 Nov 2020, 09:45:00,0
HCEP03730292,11/8/2020 10:00,12.2687,8.175,8.01,1.536,1.407,0.1,0.03,31.0027,48438,92.71, 08 Nov 2020, 10:00:00,0
HCEP03730292,11/8/2020 10:15,12.234,8.22,8.01,1.614,1.384,0.07,0.05,30.9805,48411.5,93.14, 08 Nov 2020, 10:15:00,0
HCEP03730292,11/8/2020 10:30,12.2319,8.266,8.01,1.486,1.309,0.04,0.04,30.9732,48401.5,93.64, 02 Nov 2020, 21:00:00,0
HCEP03730292,11/8/2020 10:45,12.265,8.25,8.01,1.639,1.236,0.06,0.06,30.9905,48421.3,93.54, 08 Nov 2020, 10:45:00,0
HCEP03730292,11/8/2020 11:00,12.2475,8.255,8.01,1.621,1.227,0.08,0.03,30.9933,48427.6,93.56, 08 Nov 2020, 11:00:00,0
HCEP03730292,11/8/2020 11:15,12.2287,8.26,8.01,1.592,1.178,0.06,0.02,30.9847,48418.1,93.57, 08 Nov 2020, 11:15:00,0
HCEP03730292,11/8/2020 11:30,12.234,8.27,8.01,1.656,1.24,0.1,0.08,30.9864,48419.8,93.7, 08 Nov 2020, 11:30:00,0
HCEP03730292,11/8/2020 11:45,12.1958,8.262,8.01,1.688,1.168,0.11,0.06,30.9822,48419.1,93.54, 08 Nov 2020, 11:45:00,0
HCEP03730292,11/8/2020 12:00,12.2756,8.25,8.01,1.525,1.287,0.06,0.04,31.0087,48445.4,93.56, 08 Nov 2020, 12:00:00,0
HCEP03730292,11/8/2020 12:15,12.2524,8.245,8.01,1.64,1.217,0.07,0.03,31.0001,48436.5,93.46, 08 Nov 2020, 12:15:00,0
HCEP03730292,11/8/2020 12:30,12.2732,8.245,8.01,1.587,1.305,0.07,0.03,31.0033,48438.2,93.5, 08 Nov 2020, 12:30:00,0
HCEP03730292,11/8/2020 12:45,12.2595,8.245,8.01,1.656,1.264,0.07,0.03,30.9957,48429.3,93.47, 02 Nov 2020, 21:15:00,0
HCEP03730292,11/8/2020 13:00,12.2461,8.23,8.01,1.573,1.301,0.05,0.03,30.9925,48426.7,93.27, 08 Nov 2020, 13:00:00,0
HCEP03730292,11/8/2020 13:15,12.2455,8.261,8.01,1.55,1.254,0.08,0.04,30.9921,48426.2,93.62, 08 Nov 2020, 13:15:00,0
HCEP03730292,11/8/2020 13:30,12.2579,8.262,8.01,1.415,1.302,0.03,0.09,30.9939,48427.1,93.66, 08 Nov 2020, 13:30:00,0
HCEP03730292,11/8/2020 13:45,12.2721,8.258,8.01,1.455,1.277,0.08,0.06,30.9976,48430.3,93.64, 08 Nov 2020, 13:45:00,0
HCEP03730292,11/8/2020 14:00,12.2909,8.292,8.01,1.361,1.308,0.04,0.03,30.9931,48421.4,94.06, 08 Nov 2020, 14:00:00,0
HCEP03730292,11/8/2020 14:15,12.2929,8.291,8.01,1.223,1.257,0.05,0.04,30.9913,48418.6,94.06, 08 Nov 2020, 14:15:00,0
HCEP03730292,11/8/2020 14:30,12.3221,8.302,8.01,1.249,1.296,0.05,0.02,30.9897,48412.4,94.23, 08 Nov 2020, 14:30:00,0
HCEP03730292,11/8/2020 14:45,12.3288,8.344,8.01,1.079,1.254,0.04,0.03,30.9921,48414.9,94.73, 08 Nov 2020, 14:45:00,0
HCEP03730292,11/8/2020 15:00,12.3428,8.351,8.02,0.945,1.302,0.03,0.03,30.9973,48420.3,94.84, 08 Nov 2020, 15:00:00,0
HCEP03730292,11/8/2020 15:15,12.4162,8.35,8.02,1.082,1.238,0.05,0.04,30.9985,48412.2,94.96, 08 Nov 2020, 15:15:00,0
HCEP03730292,11/8/2020 15:30,12.3851,8.377,8.02,1.029,1.223,0.04,0.04,31.0039,48423.9,95.22, 08 Nov 2020, 15:30:00,0
HCEP03730292,11/8/2020 15:45,12.5939,8.338,8.02,0.949,1.185,0.04,0.03,31.0197,48418.4,95.18, 08 Nov 2020, 15:45:00,0
HCEP03730292,11/8/2020 16:00,12.5517,8.36,8.02,1.011,1.277,0.04,0.14,31.0341,48444.3,95.37, 08 Nov 2020, 16:00:00,0
HCEP03730292,11/8/2020 16:15,12.8836,8.342,8.02,0.989,1.134,0.03,0.02,31.0025,48357,95.78, 08 Nov 2020, 16:15:00,0
HCEP03730292,11/8/2020 16:30,13.0126,8.363,8.03,1.033,1.155,0.05,0.03,31.0497,48406.9,96.27, 08 Nov 2020, 16:30:00,0
HCEP03730292,11/8/2020 16:45,12.7851,8.434,8.03,1.139,1.109,0.06,0.02,30.9898,48351.7,96.61, 08 Nov 2020, 16:45:00,0
HCEP03730292,11/8/2020 17:00,12.836,8.421,8.03,1.037,1.131,0.03,0.02,31.0056,48367.3,96.59, 08 Nov 2020, 17:00:00,0
HCEP03730292,11/8/2020 17:15,12.6889,8.474,8.03,1.175,1.14,0.04,0.18,31.0269,48416.2,96.94, 08 Nov 2020, 17:15:00,0
HCEP03730292,11/8/2020 17:30,12.6922,8.482,8.03,1.14,1.145,0.04,0.03,31.0473,48444.4,97.08, 02 Nov 2020, 21:45:00,0
HCEP03730292,11/8/2020 17:45,12.917,8.457,8.03,1.277,1.049,0.06,0.02,31.0121,48366.3,97.18, 08 Nov 2020, 17:45:00,0
HCEP03730292,11/8/2020 18:00,13.304,8.461,8.03,1.239,1.055,0.05,0.02,30.9917,48290,97.95, 08 Nov 2020, 18:00:00,0
HCEP03730292,11/8/2020 18:15,13.148,8.533,8.03,1.601,1.05,0.06,0.02,31.0222,48351.7,98.51, 08 Nov 2020, 18:15:00,0
HCEP03730292,11/8/2020 18:30,12.9583,8.568,8.03,1.524,1.114,0.04,0.02,31.017,48367.9,98.56, 08 Nov 2020, 18:30:00,0
HCEP03730292,11/8/2020 18:45,12.8556,8.57,8.03,1.722,1.091,0.07,0.02,31.0454,48420.7,98.41, 08 Nov 2020, 18:45:00,0
HCEP03730292,11/8/2020 19:00,12.9273,8.601,8.04,1.765,1.132,0.06,0.03,31.0508,48419.3,98.87, 08 Nov 2020, 19:00:00,0
HCEP03730292,11/8/2020 19:15,12.9731,8.624,8.04,2.139,1.099,0.09,0.02,30.9996,48341.6,99.21, 08 Nov 2020, 19:15:00,0
HCEP03730292,11/8/2020 19:30,13.2348,8.648,8.04,2.135,1.106,0.09,0.02,31.0397,48365.6,100.03, 08 Nov 2020, 19:30:00,0
HCEP03730292,11/8/2020 19:45,13.0733,8.654,8.04,2.221,1.142,0.17,0.03,30.9946,48322.2,99.74, 08 Nov 2020, 19:45:00,0
HCEP03730292,11/8/2020 20:00,13.0309,8.643,8.04,2.282,1.179,0.07,0.03,31.0297,48376.6,99.59, 08 Nov 2020, 20:00:00,0
HCEP03730292,11/8/2020 20:15,13.3181,8.714,8.04,2.593,1.03,0.07,0.04,31.0115,48316.1,100.97, 08 Nov 2020, 20:15:00,0
HCEP03730292,11/8/2020 20:30,13.1508,8.748,8.05,2.561,1.117,0.06,0.03,31.0384,48374.1,101.09, 08 Nov 2020, 20:30:00,0
HCEP03730292,11/8/2020 20:45,12.9636,8.713,8.04,2.422,1.163,0.06,0.02,31.007,48353.2,100.25, 08 Nov 2020, 20:45:00,0
HCEP03730292,11/8/2020 21:00,13.0165,8.687,8.04,2.259,1.224,0.07,0.02,31.0065,48345.9,100.05, 08 Nov 2020, 21:00:00,0
HCEP03730292,11/8/2020 21:15,12.978,8.676,8.04,2.346,1.156,0.05,0.02,31.0123,48358.9,99.88, 08 Nov 2020, 21:15:00,0
HCEP03730292,11/8/2020 21:30,12.887,8.652,8.03,2.25,1.302,0.05,0.03,30.9814,48326.9,99.36, 08 Nov 2020, 21:30:00,0
HCEP03730292,11/8/2020 21:45,12.6137,8.595,8.03,2.47,1.627,0.06,0.03,30.9798,48359.8,98.17, 08 Nov 2020, 21:45:00,0
HCEP03730292,11/8/2020 22:00,12.5531,8.552,8.03,2.259,1.457,0.06,0.02,30.9787,48366.1,97.55, 08 Nov 2020, 22:00:00,0
HCEP03730292,11/8/2020 22:15,12.4944,8.524,8.03,2.377,1.366,0.08,0.02,30.9776,48372.4,97.11, 08 Nov 2020, 22:15:00,0
HCEP03730292,11/8/2020 22:30,12.4943,8.515,8.02,2.339,1.445,0.09,0.05,30.9759,48370,96.99, 08 Nov 2020, 22:30:00,0
HCEP03730292,11/8/2020 22:45,12.5856,8.49,8.03,2.334,1.307,0.1,0.04,30.9731,48354.1,96.89, 08 Nov 2020, 22:45:00,0
HCEP03730292,11/8/2020 23:00,12.5722,8.509,8.03,2.202,1.231,0.08,0.05,30.977,48361.2,97.09, 08 Nov 2020, 23:00:00,0
HCEP03730292,11/8/2020 23:15,12.6667,8.525,8.03,2.074,1.194,0.04,0.03,30.9734,48343.8,97.45, 08 Nov 2020, 23:15:00,0
HCEP03730292,11/8/2020 23:30,12.661,8.511,8.03,2.173,1.218,0.09,0.04,30.9748,48346.6,97.28, 08 Nov 2020, 23:30:00,0
HCEP03730292,11/8/2020 23:45,12.6615,8.481,8.02,2.189,1.181,0.1,0.03,30.973,48344.1,96.95, 08 Nov 2020, 23:45:00,0
HCEP03730292,11/9/2020 0:00,12.6446,8.44,8.02,2.085,1.197,0.07,0.03,30.9726,48345.6,96.44, 09 Nov 2020, 00:00:00,0
HCEP03730292,11/9/2020 0:15,12.6268,8.444,8.02,2.221,1.188,0.07,0.05,30.9708,48345.4,96.45, 09 Nov 2020, 00:15:00,0
HCEP03730292,11/9/2020 0:30,12.6178,8.456,8.02,2.196,1.177,0.12,0.05,30.9748,48352.2,96.57, 09 Nov 2020, 00:30:00,0
HCEP03730292,11/9/2020 0:45,12.6236,8.447,8.02,2.21,1.099,0.11,0.04,30.9777,48355.5,96.49, 09 Nov 2020, 00:45:00,0
HCEP03730292,11/9/2020 1:00,12.6057,8.479,8.02,2.112,1.147,0.17,0.1,30.9779,48358.1,96.81, 09 Nov 2020, 01:00:00,0
HCEP03730292,11/9/2020 1:15,12.6019,8.481,8.02,2.21,1.126,0.1,0.12,30.9847,48368.2,96.83, 09 Nov 2020, 01:15:00,0
HCEP03730292,11/9/2020 1:30,12.6164,8.463,8.02,2.124,1.21,0.12,0.09,30.992,48376.5,96.66, 09 Nov 2020, 01:30:00,0
HCEP03730292,11/9/2020 1:45,12.6392,8.469,8.02,2.227,1.292,0.12,0.14,30.9971,48380.8,96.77, 09 Nov 2020, 01:45:00,0
HCEP03730292,11/9/2020 2:00,12.6765,8.464,8.03,2.398,1.25,0.13,0.09,31.0109,48395.2,96.81, 09 Nov 2020, 02:00:00,0
HCEP03730292,11/9/2020 2:15,12.6799,8.49,8.03,2.466,1.17,0.09,0.07,31.0062,48388.3,97.1, 09 Nov 2020, 02:15:00,0
HCEP03730292,11/9/2020 2:30,12.6543,8.526,8.03,2.404,1.289,0.09,0.15,31.019,48409.6,97.48, 09 Nov 2020, 02:30:00,0
HCEP03730292,11/9/2020 2:45,12.6314,8.488,8.03,2.473,1.297,0.11,0.14,31.0234,48418.7,97, 09 Nov 2020, 02:45:00,0
HCEP03730292,11/9/2020 3:00,12.6027,8.454,8.03,2.369,1.302,0.13,0.09,31.0298,48431.4,96.55, 09 Nov 2020, 03:00:00,0
HCEP03730292,11/9/2020 3:15,12.6294,8.469,8.03,2.34,1.162,0.08,0.06,31.0219,48416.9,96.76, 09 Nov 2020, 03:15:00,0
HCEP03730292,11/9/2020 3:30,12.5667,8.524,8.03,2.079,1.154,0.09,0.08,31.0023,48397.6,97.27, 09 Nov 2020, 03:30:00,0
HCEP03730292,11/9/2020 3:45,12.5175,8.482,8.03,2.02,1.024,0.06,0.03,30.9901,48386.8,96.68, 09 Nov 2020, 03:45:00,0
HCEP03730292,11/9/2020 4:00,12.4387,8.467,8.02,2.068,1.183,0.08,0.06,30.9772,48379.2,96.35, 09 Nov 2020, 04:00:00,0
HCEP03730292,11/9/2020 4:15,12.4287,8.417,8.02,2.204,1.233,0.07,0.08,30.9801,48384.6,95.75, 09 Nov 2020, 04:15:00,0
HCEP03730292,11/9/2020 4:30,12.3976,8.391,8.02,1.975,1.279,0.08,0.05,30.977,48384.5,95.38, 09 Nov 2020, 04:30:00,0
HCEP03730292,11/9/2020 4:45,12.3786,8.366,8.02,2.256,1.264,0.1,0.08,30.9804,48391.8,95.07, 09 Nov 2020, 04:45:00,0
HCEP03730292,11/9/2020 5:00,12.3476,8.339,8.01,1.999,1.311,0.08,0.05,30.9759,48389.6,94.7, 09 Nov 2020, 05:00:00,0
HCEP03730292,11/9/2020 5:15,12.3385,8.323,8.01,2.211,1.362,0.08,0.09,30.9767,48391.9,94.5, 09 Nov 2020, 05:15:00,0
HCEP03730292,11/9/2020 5:30,12.3205,8.32,8.01,2.225,1.417,0.1,0.11,30.9753,48392.4,94.44, 09 Nov 2020, 05:30:00,0
HCEP03730292,11/9/2020 5:45,12.3557,8.335,8.01,2.366,1.5,0.07,0.23,30.9799,48394.1,94.67, 09 Nov 2020, 05:45:00,0
HCEP03730292,11/9/2020 6:00,12.3401,8.338,8.01,2.317,1.375,0.13,0.07,30.973,48386.5,94.67, 09 Nov 2020, 06:00:00,0
HCEP03730292,11/9/2020 6:15,12.3494,8.34,8.01,2.401,1.309,0.08,0.06,30.9763,48389.9,94.71, 09 Nov 2020, 06:15:00,0
HCEP03730292,11/9/2020 6:30,12.3718,8.327,8.02,2.398,1.335,0.08,0.05,30.986,48400.5,94.62, 09 Nov 2020, 06:30:00,0
HCEP03730292,11/9/2020 6:45,12.3546,8.33,8.01,2.33,1.292,0.12,0.06,30.9808,48395.5,94.61, 09 Nov 2020, 06:45:00,0
HCEP03730292,11/9/2020 7:00,12.3183,8.313,8.01,2.086,1.336,0.12,0.13,30.983,48403.5,94.35, 09 Nov 2020, 07:00:00,0
HCEP03730292,11/9/2020 7:15,12.2758,8.264,8.01,1.965,1.289,0.04,0.03,30.9907,48420,93.73, 09 Nov 2020, 07:15:00,0
HCEP03730292,11/9/2020 7:30,12.2866,8.251,8.01,1.898,1.421,0.05,0.05,30.9817,48405.9,93.58, 09 Nov 2020, 07:30:00,0
HCEP03730292,11/9/2020 7:45,12.3176,8.241,8.01,2.098,1.488,0.07,0.06,30.9889,48412,93.53, 09 Nov 2020, 07:45:00,0
HCEP03730292,11/9/2020 8:00,12.2412,8.291,8.01,1.88,1.216,0.06,0.04,30.9349,48346.4,93.93, 09 Nov 2020, 08:00:00,0
HCEP03730292,11/9/2020 8:15,12.2445,8.367,8.01,1.943,1.156,0.06,0.08,30.93,48339,94.8, 09 Nov 2020, 08:15:00,0
HCEP03730292,11/9/2020 8:30,12.2413,8.365,8.01,1.889,1.324,0.11,0.13,30.933,48343.7,94.75, 09 Nov 2020, 08:30:00,0
HCEP03730292,11/9/2020 8:45,12.2136,8.341,8.01,1.784,1.153,0.06,0.03,30.9374,48353.7,94.43, 09 Nov 2020, 08:45:00,0
HCEP03730292,11/9/2020 9:00,12.1919,8.372,8.02,1.736,1.136,0.05,0.03,30.9281,48343.5,94.74, 09 Nov 2020, 09:00:00,0
HCEP03730292,11/9/2020 9:15,12.1135,8.437,8.02,1.824,0.971,0.07,0.06,30.8849,48293.5,95.3, 09 Nov 2020, 09:15:00,0
HCEP03730292,11/9/2020 9:30,12.1676,8.486,8.02,1.85,1.022,0.05,0.04,30.9152,48328.7,95.97, 09 Nov 2020, 09:30:00,0
HCEP03730292,11/9/2020 9:45,12.2213,8.468,8.02,2.007,1.094,0.06,0.05,30.9335,48347.1,95.89, 09 Nov 2020, 09:45:00,0
HCEP03730292,11/9/2020 10:00,12.2366,8.459,8.02,2.033,1.065,0.09,0.08,30.9044,48304,95.81, 09 Nov 2020, 10:00:00,0
HCEP03730292,11/9/2020 10:15,11.445,8.643,8.02,1.449,0.611,0.04,0.03,30.098,47277,95.85, 09 Nov 2020, 10:15:00,0
HCEP03730292,11/9/2020 10:30,11.597,8.646,8.01,1.419,0.604,0.04,0.02,30.2148,47420.5,96.21, 09 Nov 2020, 10:30:00,0
HCEP03730292,11/9/2020 10:45,11.7285,8.655,8,1.529,0.582,0.04,0.02,30.249,47450.1,96.58, 09 Nov 2020, 10:45:00,0
HCEP03730292,11/9/2020 11:00,11.5812,8.688,8,1.548,0.635,0.04,0.02,30.1603,47345.6,96.62, 09 Nov 2020, 11:00:00,0
HCEP03730292,11/9/2020 11:15,11.9477,8.635,8,1.778,0.642,0.09,0.03,30.3629,47580.4,96.87, 09 Nov 2020, 11:15:00,0
HCEP03730292,11/9/2020 11:30,12.0464,8.594,8,1.596,0.683,0.04,0.02,30.4284,47659.3,96.65, 09 Nov 2020, 11:30:00,0
HCEP03730292,11/9/2020 11:45,12.0974,8.593,8,1.709,0.615,0.04,0.02,30.3931,47602.5,96.7, 09 Nov 2020, 11:45:00,0
HCEP03730292,11/9/2020 12:00,11.9555,8.589,8,1.663,0.659,0.04,0.02,30.4046,47638.1,96.44, 09 Nov 2020, 12:00:00,0
HCEP03730292,11/9/2020 12:15,11.6464,8.68,8,2.053,0.601,0.06,0.03,30.3082,47545.4,96.89, 09 Nov 2020, 12:15:00,0
HCEP03730292,11/9/2020 12:30,11.6646,8.686,8,1.872,0.644,0.07,0.04,30.1174,47273,96.68, 03 Nov 2020, 14:00:00,0
HCEP03730292,11/9/2020 12:45,11.5537,8.769,8.01,1.434,0.47,0.11,0.04,29.9416,47039.7,97.35, 09 Nov 2020, 12:45:00,0
HCEP03730292,11/9/2020 13:00,11.7636,8.729,8.01,1.73,0.713,0.06,0.04,30.0563,47172.6,97.34, 09 Nov 2020, 13:00:00,0
HCEP03730292,11/9/2020 13:15,12.086,8.645,8.01,1.712,0.725,0.09,0.04,30.4137,47633.1,97.3, 09 Nov 2020, 13:15:00,0
HCEP03730292,11/9/2020 13:30,11.9183,8.666,8.01,1.175,0.543,0.06,0.03,30.2533,47429.7,97.04, 09 Nov 2020, 13:30:00,0
HCEP03730292,11/9/2020 13:45,11.9331,8.654,8.01,1.401,0.601,0.18,0.06,30.462,47722.3,97.13, 09 Nov 2020, 13:45:00,0
HCEP03730292,11/9/2020 14:00,11.5972,8.724,8.02,1.196,0.597,0.04,0.02,29.8327,46879.4,96.87, 09 Nov 2020, 14:00:01,0
HCEP03730292,11/9/2020 14:15,11.9639,8.771,8.02,1.294,0.638,0.04,0.04,29.505,46364.6,97.58, 09 Nov 2020, 14:15:00,0
HCEP03730292,11/9/2020 14:30,12.05,8.685,8.02,1.169,0.738,0.04,0.03,30.5243,47794.1,97.74, 09 Nov 2020, 14:30:00,0
HCEP03730292,11/9/2020 14:45,11.9347,8.683,8.02,1.189,0.724,0.05,0.05,30.4049,47641.5,97.46, 09 Nov 2020, 14:45:00,0
HCEP03730292,11/9/2020 15:00,12.0891,8.678,8.02,1.097,0.742,0.04,0.12,30.4607,47699,97.65, 03 Nov 2020, 14:15:00,0
HCEP03730292,11/9/2020 15:15,11.9907,8.661,8.02,1.132,0.755,0.03,0.04,30.2881,47468.8,97.3, 09 Nov 2020, 15:15:00,0
HCEP03730292,11/9/2020 15:30,12.1523,8.702,8.02,1.076,0.779,0.05,0.04,30.5527,47820.2,98.15, 09 Nov 2020, 15:30:00,0
HCEP03730292,11/9/2020 15:45,12.1051,8.749,8.03,1.126,0.868,0.08,0.03,30.2973,47466.2,98.45, 09 Nov 2020, 15:45:00,0
HCEP03730292,11/9/2020 16:00,12.3004,8.675,8.02,1.057,0.944,0.03,0.02,30.7155,48029.5,98.26, 09 Nov 2020, 16:00:00,0
HCEP03730292,11/9/2020 16:15,12.3348,8.695,8.03,1.25,0.893,0.08,0.02,30.5473,47788,98.44, 09 Nov 2020, 16:15:00,0
HCEP03730292,11/9/2020 16:30,12.3945,8.686,8.03,1.236,0.978,0.05,0.05,30.6938,47986.4,98.56, 09 Nov 2020, 16:30:00,0
HCEP03730292,11/9/2020 16:45,12.408,8.674,8.03,1.368,0.909,0.07,0.02,30.7959,48128.3,98.52, 09 Nov 2020, 16:45:00,0
HCEP03730292,11/9/2020 17:00,12.4481,8.654,8.03,1.371,0.962,0.06,0.05,30.7491,48057.1,98.34, 09 Nov 2020, 17:00:00,0
